n_test,r2,rmse,calib_intercept,calib_slope,setting,model,kind,split,split_seed,n_train,n_train_groups,n_test_groups
44,0.9073732036198883,0.3114093784415195,0.19673357591025759,1.0358374018572547,bert,compute_efficiency,linear,13,1943781587,87,47,21
42,0.904265099958896,0.31392605239193105,-0.19340567074815881,0.977307436531407,bert,compute_efficiency,linear,14,1548783626,89,47,21
46,0.913622545304183,0.3309933648252203,0.4775290129651818,1.0972632125694122,bert,compute_efficiency,linear,15,380863078,85,47,21
34,0.8731962927350181,0.3659633043628951,0.18297262772955458,0.9961340830999693,bert,compute_efficiency,linear,16,1843517862,97,47,21
39,0.8645955794603272,0.32377086275581435,-0.03316484696920779,1.0298790538485445,bert,compute_efficiency,linear,17,1401844688,92,47,21
40,0.8715938405698513,0.31896506600578184,-0.3998750622415195,0.927011137630565,bert,compute_efficiency,linear,18,211455622,91,47,21
51,0.9336394924782431,0.25611251892199405,-0.11581745692687614,0.9828914809131363,bert,compute_efficiency,linear,19,640600314,80,47,21
37,0.9038978456926839,0.30833783899017975,-0.04943806200177273,0.984489394944931,bert,memory_efficiency,linear,0,1829338324,94,47,21
39,0.9190496285252663,0.30576274851769114,0.1696724815372909,1.0324957739067009,bert,memory_efficiency,linear,1,384259585,92,47,21
29,0.931303224991855,0.25215973182545814,0.2416947905178429,1.0688203464088428,bert,memory_efficiency,linear,2,56731231,102,47,21
45,0.8967738381457812,0.32384870585112524,-0.024648601347628845,0.9942626710492399,bert,memory_efficiency,linear,3,1374203058,86,47,21
34,0.9119728347757289,0.26539999940520353,-0.18957220591837126,0.9665629841047875,bert,memory_efficiency,linear,4,784857332,97,47,21
34,0.9297708842969177,0.2846646269681281,0.21677393997935432,1.0383225293519232,bert,memory_efficiency,linear,5,1003451250,97,47,21
39,0.8916064536202308,0.3172593161631086,0.057570454983030865,1.0303345753504938,bert,memory_efficiency,linear,6,171429433,92,47,21
36,0.910024772662613,0.31220741343582364,0.3815201058822342,1.0810325184173963,bert,memory_efficiency,linear,7,795643823,95,47,21
47,0.9387472738134403,0.2525887740508934,-0.16334118647702395,0.9536943610370908,bert,memory_efficiency,linear,8,1381800716,84,47,21
44,0.9224678216822867,0.2731298276446606,-0.09355220462904526,0.9739168395037271,bert,memory_efficiency,linear,9,762179171,87,47,21
41,0.9281717236599107,0.2777959848676199,-0.06368051104514946,0.9744313381733194,bert,memory_efficiency,linear,10,1784690067,90,47,21
35,0.9136806103496702,0.296496797433433,0.36298765455046045,1.0974380995888233,bert,memory_efficiency,linear,11,1697625005,96,47,21
41,0.9352741510240267,0.2459246645806618,0.0790106417077095,1.0357403633118785,bert,memory_efficiency,linear,12,1512746413,90,47,21
44,0.9027845393426216,0.31902964092800756,0.18757502734609433,1.019357170576124,bert,memory_efficiency,linear,13,1943781587,87,47,21
42,0.9369472427350201,0.25476763535077146,0.03456718945986715,1.0404250584696275,bert,memory_efficiency,linear,14,1548783626,89,47,21
46,0.936454941521924,0.28389646086243164,0.21925865128537883,1.0420371559253254,bert,memory_efficiency,linear,15,380863078,85,47,21
34,0.9027812676442696,0.3204398662764103,0.23862300414392096,1.0105445013408978,bert,memory_efficiency,linear,16,1843517862,97,47,21
39,0.925843481576041,0.23960507198677683,-0.2634717603153763,0.9602454526809348,bert,memory_efficiency,linear,17,1401844688,92,47,21
40,0.912488926987116,0.26331869654289725,-0.10446493082698093,0.9997129306598035,bert,memory_efficiency,linear,18,211455622,91,47,21
51,0.933070334017081,0.2572084823951504,-0.2365224025002946,0.9623615958034963,bert,memory_efficiency,linear,19,640600314,80,47,21
37,0.9335673021800847,0.2563605574980432,0.1670261649637978,1.0448550824944938,bert,full_interpretable,linear,0,1829338324,94,47,21
39,0.9445673732913511,0.25302176435334206,0.17038088664077536,1.0344972524584173,bert,full_interpretable,linear,1,384259585,92,47,21
29,0.9180340484213932,0.2754382825857777,0.1335858796620546,1.0483151813283793,bert,full_interpretable,linear,2,56731231,102,47,21
45,0.9289731428993663,0.26863251305234503,0.08512446599191996,1.0207513013085743,bert,full_interpretable,linear,3,1374203058,86,47,21
34,0.9254779296164561,0.2441940149341516,-0.11936592390027073,0.9645361754267763,bert,full_interpretable,linear,4,784857332,97,47,21
34,0.9485985563102317,0.24353566020006867,0.1770717587044144,1.0283811079791987,bert,full_interpretable,linear,5,1003451250,97,47,21
39,0.9247848019344826,0.26428071477526605,0.1383395934991431,1.042806550956344,bert,full_interpretable,linear,6,171429433,92,47,21
36,0.9406498696779148,0.2535669071432058,0.32171190469181454,1.062345316858952,bert,full_interpretable,linear,7,795643823,95,47,21
47,0.9534077267656471,0.22029684823371745,-0.20817686642970523,0.9456332814156722,bert,full_interpretable,linear,8,1381800716,84,47,21
44,0.947347866431486,0.22507959491520166,-0.10107870741436767,0.9736838271945881,bert,full_interpretable,linear,9,762179171,87,47,21
41,0.9516821915574226,0.22784098830860336,0.002691759307435927,0.9971940475091878,bert,full_interpretable,linear,10,1784690067,90,47,21
35,0.9218881385592829,0.2820488413584263,0.3037830559026426,1.0836406310735898,bert,full_interpretable,linear,11,1697625005,96,47,21
41,0.947359422550049,0.2217805888781709,-0.04390777567164244,0.9997710050995389,bert,full_interpretable,linear,12,1512746413,90,47,21
