setting,gpu_model,split,n_test,r2,rmse,calib_intercept,calib_slope
pooled,NVIDIA A100-SXM4-40GB,3,92,0.9537974614300005,0.19287368399520122,0.11640742781642562,1.018679230950254
pooled,NVIDIA A100-SXM4-40GB,4,92,0.9520105515615913,0.1972478953633261,0.5559837797561267,1.1077198902429868
pooled,NVIDIA A100-SXM4-40GB,5,92,0.9493973119155195,0.1873733395650035,-0.5781081063044795,0.878021310475122
pooled,NVIDIA A100-SXM4-40GB,6,92,0.9731010803368191,0.12942040885162745,0.06876601073830163,1.0238039201339553
pooled,NVIDIA A100-SXM4-40GB,7,92,0.9607216422231156,0.16466571744399047,0.08261623599121484,1.0248264028067984
pooled,NVIDIA A100-SXM4-40GB,8,92,0.9634776494668537,0.16757165920203437,0.00962896681718463,0.9982243858409028
pooled,NVIDIA A100-SXM4-40GB,9,92,0.9620919779270772,0.16093795105558342,0.03595881187731669,1.0170093316680486
pooled,NVIDIA A100-SXM4-40GB,10,92,0.9603357814849305,0.1661384977783111,-0.24918805830775376,0.9562343581974541
pooled,NVIDIA A100-SXM4-40GB,11,92,0.9544086849361286,0.1943832348471946,0.19482507610193428,1.0385192962609344
pooled,NVIDIA A100-SXM4-40GB,12,92,0.9481962522981693,0.2144783781893543,-0.2214070422772518,0.9412106746581655
pooled,NVIDIA A100-SXM4-40GB,13,92,0.963674810919966,0.16215261169327547,-0.03698161021893223,0.9944838951668552
pooled,NVIDIA A100-SXM4-40GB,14,92,0.967569730445582,0.17094180170095877,-0.028209482568923624,0.9844643191350042
pooled,NVIDIA A100-SXM4-40GB,15,92,0.9722520102921539,0.14046628387386006,0.16989392275995005,1.032955019127603
pooled,NVIDIA A100-SXM4-40GB,16,92,0.9563943324875852,0.19445772153349292,-0.38329202892222297,0.9118150994437353
pooled,NVIDIA A100-SXM4-40GB,17,92,0.9526067542991538,0.17395064934619864,0.43188979524097876,1.1005777239210708
pooled,NVIDIA A100-SXM4-40GB,18,92,0.957547424695591,0.17449927457862927,-0.41877334116838605,0.9093129036286361
pooled,NVIDIA A100-SXM4-40GB,19,92,0.9535478036884968,0.20431400357401144,-0.10690592997920552,0.9661054445409324
pooled,NVIDIA GeForce RTX 2080 Ti,0,100,0.952132014515655,0.21127827150381848,0.05522256710794673,1.0143840538349274
pooled,NVIDIA GeForce RTX 2080 Ti,1,84,0.9571442736904519,0.19922477144481174,0.17461695140954686,1.0385398735656586
pooled,NVIDIA GeForce RTX 2080 Ti,2,101,0.9629130083468543,0.18549940939646292,-0.0014374909821102567,1.0004048921665727
