n_test,r2,rmse,calib_intercept,calib_slope,coverage,q_log,multiplicative_half_width,median_interval_width_kwh,n_fit,n_cal,n_fit_groups,n_cal_groups,n_test_groups,setting,split
188,0.8396036426463451,0.37593174846728905,0.23969906909295277,1.0416533812015982,0.9308510638297872,0.6312349948426177,1.8799308511131534,0.012968354386032119,379,88,137,35,74,pooled,2
194,0.7971316758056382,0.4098182796252931,0.10838371997289782,1.013400332575354,0.9123711340206185,0.6491266681186891,1.9138686564250638,0.016080900344674062,378,83,137,35,74,pooled,3
209,0.8315640050586314,0.3870860994738371,0.17354900052483582,1.0326324312650834,0.9138755980861244,0.6349486565134601,1.8869252576500148,0.01802061701710596,355,91,137,35,74,pooled,4
190,0.8274879015986721,0.4131020691709133,0.5382698311470502,1.0967110657489625,0.9368421052631579,0.76680350448299,2.152873592685914,0.016219040585020925,369,96,137,35,74,pooled,5
200,0.8005115339271831,0.3881910271109285,-0.2014919547149004,0.9789387734239793,0.99,0.8558618809333902,2.3534018589177377,0.022099073353416064,365,90,137,35,74,pooled,6
183,0.8222606347823381,0.377344511253507,0.2372808610234144,1.057265237171082,0.9508196721311475,0.6610070339888168,1.9367417174268162,0.01618887365879585,373,99,137,35,74,pooled,7
200,0.8150156801920909,0.40347265661792014,0.010071929746927354,1.005861681058755,0.94,0.6576069961402777,1.9301679042244821,0.015275534956939441,357,98,137,35,74,pooled,8
209,0.8186499303510137,0.3819208124567089,-0.334315245479962,0.9455677128980879,0.937799043062201,0.6421619457886902,1.9005854034359106,0.01581580842902414,347,99,137,35,74,pooled,9
199,0.84334329771612,0.38322275625402125,-0.06218117821868955,0.9937786028688024,0.9597989949748744,0.7284252113761562,2.071815366047088,0.017907336133069735,365,91,137,35,74,pooled,10
207,0.8367075155398136,0.38068579534282065,-0.08569667458435726,0.9905889709447695,0.9565217391304348,0.7000909423701853,2.013935851242299,0.017202874096731262,361,87,137,35,74,pooled,11
199,0.8547459919889777,0.3579724472770441,-0.00439158562112158,0.9965891753363059,0.9547738693467337,0.6509403187411191,1.917342895080262,0.015862406839007446,366,90,137,35,74,pooled,12
201,0.8419592972997303,0.39325603063204945,0.09252670321709688,1.0042600841933813,0.9203980099502488,0.6311077942296262,1.8796917379645022,0.014624942089343517,352,102,137,35,74,pooled,13
195,0.8203083885549745,0.40605698896705245,0.32396992212473924,1.0628039414366393,0.9538461538461539,0.8460333638011117,2.330384705956637,0.019816555375186385,373,87,137,35,74,pooled,14
209,0.7915880919458284,0.4122468052261689,-0.5730556052259879,0.8873583553197707,0.9808612440191388,0.899827801404796,2.45917960742087,0.02522931919050804,348,98,137,35,74,pooled,15
187,0.8013108040037125,0.3819803440719007,-0.07931673284986702,0.9767257787569462,0.9090909090909091,0.6297494199042966,1.8771401463687187,0.017942836299250003,369,99,137,35,74,pooled,16
205,0.8342153283113423,0.37431742312601474,-0.1566014109035918,0.976160228060612,0.9414634146341463,0.6234256513182874,1.8653070009501906,0.015157570705815008,351,99,137,35,74,pooled,17
186,0.8283242247329388,0.3852774210651284,0.5097636435250412,1.0901416563540194,0.9354838709677419,0.649903252096057,1.9153555134183642,0.01487041988958895,374,95,137,35,74,pooled,18
208,0.8270853622194989,0.372703287478091,0.22980661099313443,1.0575251468371851,0.9663461538461539,0.7468794743734919,2.110404160430999,0.01938358051656655,355,92,137,35,74,pooled,19
