setting,model,metric,n_splits,median,q25,q75,mean,std,p025,p975
gpt,measured_eta_postrun,calib_slope,20,0.9845128448595286,0.9629522857485713,1.0105634060987274,0.9822348903393767,0.03450100295855273,0.9181274224567738,1.0263169713449913
gpt,measured_eta_postrun,calib_intercept,20,-0.10616784992174025,-0.20244454268483156,0.07357531845334148,-0.08627597062811365,0.16551041134105493,-0.37157796775190605,0.1107716894023078
gpt,predicted_eta_prerun,r2,20,0.8339495091821365,0.827863366817736,0.8473462909295502,0.8343352285452559,0.01757560890395491,0.8006657657420889,0.86473366511725
gpt,predicted_eta_prerun,rmse,20,0.3838277541063181,0.3780237225679445,0.39170617854076273,0.3862389045654571,0.013227011024553209,0.3657531269466765,0.41056491109988974
gpt,predicted_eta_prerun,calib_slope,20,0.9796667290623087,0.9438251918900633,1.025111832466162,0.9793023462833158,0.052909212737541574,0.8806127130507132,1.041141237432782
gpt,predicted_eta_prerun,calib_intercept,20,-0.037006723057996085,-0.32746479276529705,0.0861711490951567,-0.10028421172587165,0.2584302311033429,-0.585924304162278,0.2331540696488845
pooled,configuration_only_legacy_no_strategy,r2,20,0.7739146362483044,0.7585351721529499,0.7825947974419507,0.772256927286324,0.02451281339313721,0.7295473887841596,0.8190905311011957
pooled,configuration_only_legacy_no_strategy,rmse,20,0.44417309501445373,0.433942257608377,0.4501826769663831,0.44100134914274564,0.01681020094497382,0.40851615505170086,0.46901438288539415
pooled,configuration_only_legacy_no_strategy,calib_slope,20,0.9934554741614448,0.9577913190838866,1.0379548966239343,0.9986636563848507,0.05342088625463962,0.9193527742330619,1.083577564541254
pooled,configuration_only_legacy_no_strategy,calib_intercept,20,0.024633359471076133,-0.2620375769875771,0.2146877240385388,-0.014921104079675293,0.28164225254159403,-0.43420085052343316,0.38106529770808206
pooled,configuration_only_matched_features,r2,20,0.8331036973833219,0.8229447880043038,0.8425013361164299,0.8308953351809306,0.018863681168741844,0.7901608921137584,0.861357326395771
pooled,configuration_only_matched_features,rmse,20,0.37929824051209904,0.37627391082123324,0.3877684215665564,0.37996360359443726,0.014025847639943897,0.35209381179172683,0.4047353637059692
pooled,configuration_only_matched_features,calib_slope,20,0.9923785521620881,0.96484400456109,1.0349523215156107,0.9965826984691397,0.047516971898263885,0.9201172548373338,1.072565292980735
pooled,configuration_only_matched_features,calib_intercept,20,0.0021775711251973973,-0.23604854313297113,0.1930403882677984,-0.024702256542916308,0.24882897466932902,-0.39339753028896685,0.32642890918753154
pooled,eta_predictor,r2,20,0.8991471467186385,0.8930701483075419,0.908398075653997,0.8999635569924667,0.00859592186386703,0.8873910085800569,0.9114467274706213
pooled,eta_predictor,rmse,20,0.2720736972003912,0.25780984577092947,0.28090432333338367,0.2710879286943018,0.013125068572726876,0.2522670080254112,0.2903826986484227
pooled,eta_predictor,calib_slope,20,0.9968090831907134,0.9851057824810097,1.0117720310511196,0.9993679697077489,0.020232225794717628,0.969785913601331,1.0370512279754023
pooled,eta_predictor,calib_intercept,20,-0.0053246099709913595,-0.016306821724683108,0.01444235854951935,-0.0022647158970930544,0.01946218009809962,-0.03219316813399712,0.029468794803648585
pooled,measured_eta_postrun,r2,20,0.9223497585465232,0.9147355268918982,0.927274410341885,0.9208083777438734,0.010805265642550474,0.8968686614769428,0.9351191070688241
pooled,measured_eta_postrun,rmse,20,0.2581025135659104,0.24991914304754756,0.27129946168107516,0.25987075281166383,0.013980162655965897,0.23634347475897088,0.2792592777657854
