setting,split,feature,importance_r2_drop,importance_std
pooled,1,log_M,1.2978994198753653,0.10875027315103736
pooled,1,gpus,0.1313680468764781,0.0170912108793617
pooled,1,strategy,0.5614675994235098,0.041652418450623646
pooled,1,arch,0.00019900047468160987,0.0016234092082953705
pooled,2,log_C,1.1608239742278643,0.10065572024563037
pooled,2,log_M,1.2170042113536466,0.10091238813254716
pooled,2,gpus,0.14558462500175223,0.015502766033771966
pooled,2,strategy,0.5305592422844668,0.0465005727811231
pooled,2,arch,-5.568968285474263e-05,0.001046103418325135
pooled,3,log_C,1.1171090445862055,0.09393418350573299
pooled,3,log_M,1.421667123237996,0.1012360506455719
pooled,3,gpus,0.1339460736609009,0.014133722310028324
pooled,3,strategy,0.5228398472821332,0.038491085193803225
pooled,3,arch,0.0015344463489593803,0.0006383803869779965
pooled,4,log_C,0.886908141780184,0.06316321335967141
pooled,4,log_M,0.8627238396036693,0.06400353807932521
pooled,4,gpus,0.13497828778048213,0.01599490500480258
pooled,4,strategy,0.52874631415879,0.033351135556447226
pooled,4,arch,0.004688989079278079,0.0013876427031110149
pooled,5,log_C,1.540874401267992,0.14316071869635613
pooled,5,log_M,1.733746589174085,0.13774095615784596
pooled,5,gpus,0.12806827500212764,0.012301608287230507
pooled,5,strategy,0.570262117859599,0.0435056881019482
pooled,5,arch,0.00014589126506329522,0.0007365073387475452
pooled,6,log_C,1.0529716750913012,0.08255464304567772
pooled,6,log_M,1.1412276070743386,0.09268767594386877
pooled,6,gpus,0.12789880182597,0.015244914191026812
pooled,6,strategy,0.5114281107353458,0.049988944677838744
pooled,6,arch,0.0026763288852519884,0.0012119640250825734
pooled,7,log_C,1.088550660095023,0.0722752873359575
pooled,7,log_M,1.1692118098320927,0.08867805821775565
pooled,7,gpus,0.13175503158280266,0.011253410971731652
pooled,7,strategy,0.5379085289147343,0.03249341608095347
pooled,7,arch,0.0015419282145839874,0.0011330020392461195
pooled,8,log_C,0.9449843512937528,0.07495851346124136
pooled,8,log_M,0.9555569541027098,0.07511719497202235
pooled,8,gpus,0.14108487514195064,0.013746691402812088
pooled,8,strategy,0.5016437086614038,0.03864775720346938
pooled,8,arch,0.0019419094436751863,0.0020556610131546344
pooled,9,log_C,1.2782604106865565,0.09344166697744431
pooled,9,log_M,1.332802047718689,0.10801761000055998
pooled,9,gpus,0.14406361313395183,0.016005940833766535
pooled,9,strategy,0.5343436303246135,0.04147355032341788
pooled,9,arch,0.00218642008319068,0.0013015631752169268
pooled,10,log_C,1.1974985841101649,0.10102411868598529
pooled,10,log_M,1.3486743887133221,0.11450860276849581
pooled,10,gpus,0.1357683835663666,0.018743959088048406
pooled,10,strategy,0.5587070317616256,0.04863326874759347
pooled,10,arch,0.0005364195025860645,0.0010136366441319468
pooled,11,log_C,0.9427444015027926,0.06154106150069435
pooled,11,log_M,1.0717032698824078,0.08341979959078243
pooled,11,gpus,0.13764936156113425,0.01628176742760574
pooled,11,strategy,0.5424139125199393,0.04103422761382791
pooled,11,arch,0.0008964290130591302,0.0022443457144762703
pooled,12,log_C,1.042189185928972,0.07546388626196435
pooled,12,log_M,1.154818739307309,0.09252622218452111
pooled,12,gpus,0.1359705165838198,0.015200337092375544
pooled,12,strategy,0.5693972320224646,0.04643204447865889
pooled,12,arch,-0.0012243559375538227,0.0017135750755293995
pooled,13,log_C,1.147497325616206,0.0807001607310372
pooled,13,log_M,1.337040118096486,0.08106494974063361
pooled,13,gpus,0.13081437250350555,0.014725935881014774
pooled,13,strategy,0.5383868706716123,0.044667006267442036
pooled,13,arch,0.00029505576699685824,0.0008510729212479596
pooled,14,log_C,1.621421949259546,0.12436496372507719
pooled,14,log_M,1.8764947906391818,0.12524781312499844
pooled,14,gpus,0.13347882137541764,0.009458255436359714
pooled,14,strategy,0.5790589268593636,0.029821322799236563
pooled,14,arch,0.00017031622148875694,0.0004539658533045484
pooled,15,log_C,1.061692996241429,0.0847315246966911
pooled,15,log_M,0.9070825666327618,0.05556925203900871
pooled,15,gpus,0.13595082218317714,0.014368294725841226
pooled,15,strategy,0.5185025351686966,0.03123716335854875
pooled,15,arch,0.0006993004384514778,0.00020080442821160562
pooled,16,log_C,1.3083288116749654,0.07865319972839098
pooled,16,log_M,1.6030666474868134,0.10712777755224251
pooled,16,gpus,0.1391746511512014,0.01684419234339951
pooled,16,strategy,0.5495589325546597,0.05145777809872603
pooled,16,arch,-7.655793966236205e-06,0.0012446780017837185
pooled,17,log_C,1.2025398750353127,0.09489350609625796
pooled,17,log_M,1.2428980421870388,0.10568555501269007
