setting,split,model,n_test,r2,rmse,calib_intercept,calib_slope
bert,17,eta_predictor,39,0.9367254514902726,0.20757027685394558,-0.046244314213753954,0.9321596213405223
bert,17,configuration_only_legacy_no_strategy,39,0.6071920489505849,0.5514567742094137,0.3245705183944715,1.11912461125856
bert,17,configuration_only_matched_features,39,0.8458386731427867,0.3454689824857809,-0.36083542568124327,0.9439586512005331
bert,17,predicted_eta_prerun,39,0.8446529193874521,0.3467950493511929,-0.3645796336811852,0.9439191713559175
bert,17,measured_eta_postrun,39,0.9177254705155447,0.2523794820364561,0.029996461876025917,1.0422254455380635
bert,18,eta_predictor,40,0.9509743019038259,0.19364199983655492,0.026098498207331636,0.9864012760314586
bert,18,configuration_only_legacy_no_strategy,40,0.5859010232035182,0.5727990260317845,-0.1740326606516628,0.9915515591070043
bert,18,configuration_only_matched_features,40,0.8832517563177769,0.3041412805123722,-0.1491930630637623,0.9932052684505672
bert,18,predicted_eta_prerun,40,0.8780555595764927,0.310835916347869,-0.1742044608430236,0.987505968040215
bert,18,measured_eta_postrun,40,0.9471676437367148,0.20459743381317833,-0.10014283202767531,0.9960099171754853
bert,19,eta_predictor,51,0.9446429550050313,0.19665696580734804,-0.024965944490745202,0.955402429017395
bert,19,configuration_only_legacy_no_strategy,51,0.5923135775402646,0.6348031631538937,-0.5311433411529657,0.8592608864320849
bert,19,configuration_only_matched_features,51,0.9004460917780343,0.31369320765927744,-0.30868496485408825,0.933486618935774
bert,19,predicted_eta_prerun,51,0.9032738383681687,0.3092060160595506,-0.3238407346446246,0.9324447327267502
bert,19,measured_eta_postrun,51,0.9530959889650682,0.21531830373211677,-0.20208151910821878,0.9624915912258869
gpt,0,eta_predictor,173,0.9113031887579779,0.24657206338653997,-0.020330105136603976,0.9709873618539286
gpt,0,configuration_only_legacy_no_strategy,173,0.7399110790982012,0.4665663708968335,0.11251335578052417,1.0333264047424517
gpt,0,configuration_only_matched_features,173,0.8026462142100733,0.4064201549259291,-0.03633131500167229,1.0035262792151147
gpt,0,predicted_eta_prerun,173,0.8029382198158792,0.40611937302216944,-0.02587620822085991,1.0055679347561153
gpt,0,measured_eta_postrun,173,0.9062698386121505,0.28008650772706206,-0.1280446715829235,0.9824087081082082
gpt,1,eta_predictor,168,0.9051087964221556,0.2684552517835641,0.009097961035506153,1.0551506008589246
gpt,1,configuration_only_legacy_no_strategy,168,0.774826851624494,0.4851324869541968,0.1610366004210143,1.0147816881694383
gpt,1,configuration_only_matched_features,168,0.8376446201626429,0.4119413615793059,0.231658671067859,1.0317549280524898
gpt,1,predicted_eta_prerun,168,0.8376187086809876,0.41197423263412525,0.22961728917887764,1.0312620484555135
gpt,1,measured_eta_postrun,168,0.9303682824357953,0.269777429307583,0.07553944810689464,1.0086030233681489
gpt,2,eta_predictor,175,0.9133511097077773,0.25405344249751705,0.03748246681707575,1.026764387164741
gpt,2,configuration_only_legacy_no_strategy,175,0.7610589307886091,0.47008664543075446,-0.2231273444580431,0.9506345103141342
gpt,2,configuration_only_matched_features,175,0.8281668599387343,0.39864468250763124,-0.18152142778501773,0.9582299446377808
gpt,2,predicted_eta_prerun,175,0.82793337459637,0.39891542799165874,-0.1807306923087091,0.9584599294946333
gpt,2,measured_eta_postrun,175,0.9265381163142905,0.26065348884492756,-0.21402368156709997,0.9474912150567123
gpt,3,eta_predictor,176,0.9135832962709716,0.25096918043068217,-0.0009618886274584003,1.0217506845884052
gpt,3,configuration_only_legacy_no_strategy,176,0.8119124626778068,0.4466211211754717,-0.05857087309318935,0.9712273597315662
gpt,3,configuration_only_matched_features,176,0.8664790836455993,0.376299723755725,-0.025666994334307254,0.9803028257689714
gpt,3,predicted_eta_prerun,176,0.8661867290169525,0.3767114675270844,-0.028416266907436857,0.9797236440938911
gpt,3,measured_eta_postrun,176,0.9452562331766485,0.2409498087668465,-0.02458600843523965,0.9866169816108491
gpt,4,eta_predictor,168,0.9143614616798793,0.25101988236176664,0.030368586974990727,1.0227581440908344
gpt,4,configuration_only_legacy_no_strategy,168,0.7876739192448525,0.45211891245426944,-0.17686238029943693,0.9655143683945324
gpt,4,configuration_only_matched_features,168,0.8472557242639979,0.38347183737458934,-0.11346502185928864,0.9770195466380025
gpt,4,predicted_eta_prerun,168,0.8470437402243941,0.3837378431677808,-0.11069554257917807,0.9777011134757688
gpt,4,measured_eta_postrun,168,0.9359946997288902,0.2482326892413236,-0.1253244712543597,0.9712718173198418
gpt,5,eta_predictor,177,0.9031711328066646,0.26563605721312356,0.008170960664268452,0.9854471327333494
gpt,5,configuration_only_legacy_no_strategy,177,0.7594186528214721,0.46852980746252904,0.07255856130031042,1.0351032656508463
gpt,5,configuration_only_matched_features,177,0.8167215281303503,0.4089422450495409,0.04860096093868086,1.0270023387766705
gpt,5,predicted_eta_prerun,177,0.8166632650908862,0.4090072399304716,0.05017028404169324,1.0272995467765904
gpt,5,measured_eta_postrun,177,0.929085795664843,0.2543740862522641,-0.08701122858912079,0.9925203486229722
gpt,6,eta_predictor,172,0.9223654223818188,0.23005877539565328,-0.012098816680573214,0.9695239538986808
gpt,6,configuration_only_legacy_no_strategy,172,0.7771073626866507,0.4383407641840883,-0.3173831073097455,0.9500662445691981
gpt,6,configuration_only_matched_features,172,0.8289169905439673,0.38403202253403323,-0.3307613451321736,0.9484997947585379
gpt,6,predicted_eta_prerun,172,0.8290188659567804,0.38391766504485536,-0.32906501060244725,0.9488106188473573
gpt,6,measured_eta_postrun,172,0.9119933732152488,0.2754366239629727,-0.19858482972407543,0.9756696726429903
gpt,7,eta_predictor,166,0.8938071347457897,0.2857360374859491,0.005874515128969341,1.0189415165997036
gpt,7,configuration_only_legacy_no_strategy,166,0.7491903896409507,0.45113234345275655,0.2800472702640824,1.0574117164873749
gpt,7,configuration_only_matched_features,166,0.8163827990338526,0.3860011149713922,0.235314254872468,1.0446696201954786
gpt,7,predicted_eta_prerun,166,0.8164211974263574,0.38596075220250337,0.23635401388365262,1.044978944301716
gpt,7,measured_eta_postrun,166,0.9339484811642691,0.23151188017770938,0.1119392427504477,1.0164445542904628
gpt,8,eta_predictor,170,0.915608798314058,0.24374944513246743,-0.011056178515627997,0.9718150576331629
gpt,8,configuration_only_legacy_no_strategy,170,0.7768385378096605,0.4373665637867277,0.11878160159481789,1.0364416136775507
gpt,8,configuration_only_matched_features,170,0.8285666421491201,0.3833395646633394,0.07426381153244108,1.0254329618634777
gpt,8,predicted_eta_prerun,170,0.8289941638611549,0.3828612788395098,0.08330925771913424,1.0272826956051857
gpt,8,measured_eta_postrun,170,0.9210737916140723,0.26010374146796306,0.10555005103470047,1.0286149712813366
gpt,9,eta_predictor,172,0.8990681144447165,0.2650066339381314,0.01315120427642068,0.9794388916875603
gpt,9,configuration_only_legacy_no_strategy,172,0.7621335639439168,0.44422507339056233,0.1779961943028969,1.0411780190329045
gpt,9,configuration_only_matched_features,172,0.8275910838230954,0.37819549025434085,0.06871136366395651,1.0170590672544786
gpt,9,predicted_eta_prerun,172,0.8276533434818343,0.37812719782258697,0.07338259509999026,1.0180772097429853
gpt,9,measured_eta_postrun,172,0.9234552457220112,0.2519963217054198,0.06221195060475495,1.0056704778195782
gpt,10,eta_predictor,167,0.9046422417471376,0.258867031509899,-0.02581481399602443,0.9767617275339645
gpt,10,configuration_only_legacy_no_strategy,167,0.7846768037564527,0.4441398109774353,0.019696276173341243,0.9923506227503495
gpt,10,configuration_only_matched_features,167,0.8442506767858297,0.37773513152140803,-0.049561899892153205,0.9788380377427027
gpt,10,predicted_eta_prerun,167,0.844268682228711,0.37771329680401705,-0.045597179208555313,0.9796098140307261
gpt,10,measured_eta_postrun,167,0.9336972915817254,0.24645630281488515,0.021534220368931087,0.9951343612976566
gpt,11,eta_predictor,164,0.9011579639319269,0.26129342708171266,-0.03323450967921543,0.9844222956205606
gpt,11,configuration_only_legacy_no_strategy,164,0.7753670872194545,0.45303519314038776,0.29137613305190574,1.0519832532951092
gpt,11,configuration_only_matched_features,164,0.8334611556509257,0.3900794033622999,0.12158874519875372,1.0227628683426697
gpt,11,predicted_eta_prerun,164,0.8341233633147543,0.3893030953904641,0.12786723540568318,1.0238359623724875
gpt,11,measured_eta_postrun,164,0.9234719877200522,0.26442679609960507,0.09029141249810775,1.0237770766785044
gpt,12,eta_predictor,163,0.9028725662854075,0.25109968884151174,-0.01669560576883807,0.9264717109232649
gpt,12,configuration_only_legacy_no_strategy,163,0.7345126575954961,0.4605337695239355,-0.8070984633086131,0.8324592500393111
gpt,12,configuration_only_matched_features,163,0.7989900687241305,0.4007267449154253,-0.7148947990102202,0.854381887358791
gpt,12,predicted_eta_prerun,163,0.7986097358658024,0.4011056752537424,-0.7145058012881672,0.8542913849544146
gpt,12,measured_eta_postrun,163,0.8939851196490547,0.29102009951297647,-0.4591242530942747,0.9004859447195013
gpt,13,eta_predictor,172,0.920584912855137,0.23948992516787396,0.01402329183736356,0.9987512564447043
gpt,13,configuration_only_legacy_no_strategy,172,0.7677028306125158,0.4502428843022787,-0.5094143642542721,0.8981035645004498
gpt,13,configuration_only_matched_features,172,0.8340116521001983,0.38059554478914476,-0.4448527840236338,0.9109909458442964
gpt,13,predicted_eta_prerun,172,0.8337756550495188,0.380866008120666,-0.4438079126020848,0.9112123803009878
gpt,13,measured_eta_postrun,172,0.9292378716981553,0.24849939876438804,-0.26517595457878473,0.9463638981560861
gpt,14,eta_predictor,177,0.9209348826787234,0.24004644163778072,-0.010272816517729972,0.9998632774188869
gpt,14,configuration_only_legacy_no_strategy,177,0.7965726165679332,0.4388698880121058,-0.38947580704192447,0.9167308048605092
gpt,14,configuration_only_matched_features,177,0.8487387644806237,0.3784381397535444,-0.32722481146487364,0.9303510781861211
gpt,14,predicted_eta_prerun,177,0.8482539430450184,0.3790441381727186,-0.33328644766013915,0.9288689110181811
gpt,14,measured_eta_postrun,177,0.9268462044526097,0.2631779558624185,-0.17291156520243872,0.9681059759791909
gpt,15,eta_predictor,171,0.9076597238252342,0.2571140017729751,-0.0033947321140070327,0.9844032305220025
gpt,15,configuration_only_legacy_no_strategy,171,0.7747414518889042,0.436612245577198,-0.46865149471611905,0.8987820415782507
gpt,15,configuration_only_matched_features,171,0.8357649532517286,0.37281054767303445,-0.4239365291976747,0.9096762011115962
gpt,15,predicted_eta_prerun,171,0.8356516732238322,0.37293909730442765,-0.42355369529191883,0.9097047072624117
gpt,15,measured_eta_postrun,171,0.9205423080669334,0.25931237608628577,-0.274816283952446,0.940239705625607
gpt,16,eta_predictor,181,0.9261175443683698,0.23227491141769635,0.018809185416309,1.0074413826799336
gpt,16,configuration_only_legacy_no_strategy,181,0.8146175779748663,0.4180950652089151,0.0918440609946393,1.0249673226766265
gpt,16,configuration_only_matched_features,181,0.8632510499288694,0.3590895493227123,0.0955507870984894,1.024602855075288
gpt,16,predicted_eta_prerun,181,0.8631276471228421,0.35925153471823495,0.0947568232232241,1.0243882114198208
gpt,16,measured_eta_postrun,181,0.927043226509632,0.2622850731006217,0.07292060856882376,1.0184263284822215
gpt,17,eta_predictor,169,0.9201234347375304,0.23815956605591582,-0.0071628124302613415,1.0000899621121584
gpt,17,configuration_only_legacy_no_strategy,169,0.7641557340066701,0.4544985503461835,-0.36231108437545173,0.9142588130415085
gpt,17,configuration_only_matched_features,169,0.8284098413773808,0.38767342332729116,-0.3299051577370642,0.9239699554839432
gpt,17,predicted_eta_prerun,169,0.8285343037078174,0.38753279903128157,-0.32693138681958034,0.9246227159072709
gpt,17,measured_eta_postrun,169,0.9160124181307135,0.2712235400505656,-0.2745492639963282,0.9376258978506012
gpt,18,eta_predictor,175,0.9065535915163782,0.26809630304266724,0.021218978590866352,1.0358119851367222
gpt,18,configuration_only_legacy_no_strategy,175,0.7985208462606159,0.4454919534692213,0.20534331123804678,1.0397297123442488
