setting,proxy,split,n_test,r2,rmse,calib_intercept,calib_slope,alpha_C,alpha_M,alpha_eta
pooled,M3_activation_parameter,13,207,0.9122116170487671,0.2643285811749123,-0.05988292959943622,1.0001993250851202,0.15497718987204223,0.2421536241424026,-0.7547196416424317
pooled,M3_activation_parameter,14,212,0.9260945667107238,0.2676319066790159,-0.3136443438805306,0.9376454025042087,0.15628553434720238,0.2517978495078777,-0.740647299136209
pooled,M3_activation_parameter,15,210,0.9013508658453063,0.2880701501572288,0.22826716435014205,1.0530213338946792,0.1582410338758702,0.22639775028176143,-0.7361359098757371
pooled,M3_activation_parameter,16,205,0.9277917445134414,0.2541965658977329,0.033118726408597254,1.0168015668251242,0.16025596520163263,0.23321363131311437,-0.7156575715480994
pooled,M3_activation_parameter,17,186,0.9101967984276363,0.2799676878256861,0.198780318125118,1.0347376942314899,0.15759521841846572,0.22918632284599272,-0.7300959953393135
pooled,M3_activation_parameter,18,182,0.9186035705746387,0.266300157644886,0.11994941886425099,1.021729709792855,0.17615287713569072,0.21368663456491402,-0.7297430713021966
pooled,M3_activation_parameter,19,191,0.9273383821208222,0.257472281869033,0.20528589751008902,1.0354063007906245,0.2048343673150923,0.18236929384968903,-0.6893830036810011
pooled,M4_activation_distributed_state,0,202,0.9134124760192172,0.2733581128985816,-0.10413108888907667,0.9975739867357455,0.19780793345831282,0.20907119588716058,-0.6355344118574615
pooled,M4_activation_distributed_state,1,192,0.9024128820799037,0.2919130027414681,-0.00292070229261437,0.9902450276079787,0.17419812074369173,0.23666162666470542,-0.6866476377859086
pooled,M4_activation_distributed_state,2,203,0.9137456286381404,0.28107701681465036,0.22866939531716532,1.0494839635664985,0.19493753972763725,0.1993869590932386,-0.6447936116113401
pooled,M4_activation_distributed_state,3,195,0.9038561251565532,0.2878774923784158,0.06302322605845495,1.0172315271388648,0.20578980369649574,0.19335016406854877,-0.6657711271934466
pooled,M4_activation_distributed_state,4,202,0.9034764497268404,0.2811726613403346,0.09545334832806762,1.01823063225815,0.20127510208296726,0.2065694747756611,-0.6425217841119587
pooled,M4_activation_distributed_state,5,216,0.9034847766578439,0.2975074908418592,-0.30360383843727984,0.9436730169768486,0.18856191342793638,0.2310229682767151,-0.6652472449224125
pooled,M4_activation_distributed_state,6,179,0.8830148836698656,0.3005253451521006,-0.25068242386591527,0.9529839518966092,0.21082412124974687,0.19885798149009726,-0.6552360362283293
pooled,M4_activation_distributed_state,7,208,0.9118175906231939,0.2723772118663726,-0.02038003088135975,1.0035231451470323,0.18734646489354947,0.21765337647904093,-0.6488013271442661
pooled,M4_activation_distributed_state,8,209,0.9063567695738092,0.27539248854321735,-0.11147846681937648,0.9843842355753493,0.1915763295667791,0.21765948643964164,-0.6587540534687799
pooled,M4_activation_distributed_state,9,198,0.8973407423690332,0.3051285594116176,0.01223057783277077,0.977044100668174,0.1875660569498246,0.22271618626793405,-0.6363890121051085
pooled,M4_activation_distributed_state,10,194,0.8910889095008074,0.3053725616394765,0.16477786759457502,1.03033958246592,0.1922153424374714,0.201441931606234,-0.6877897533491018
pooled,M4_activation_distributed_state,11,180,0.915258746240754,0.2702623034925491,0.2728199645546798,1.0601165519935658,0.19015562917217974,0.20576736378287935,-0.6589643874138332
pooled,M4_activation_distributed_state,12,189,0.8778114639446075,0.29879241722167554,-0.2908513820817954,0.9504493207769527,0.19643842156010694,0.21642530935491675,-0.6495167811611198
pooled,M4_activation_distributed_state,13,207,0.9143639453230685,0.26106817033912616,-0.09703311849056712,0.990807348945851,0.20082831882510027,0.206332687736884,-0.6670760555710451
pooled,M4_activation_distributed_state,14,212,0.9302987032376189,0.2599082908815733,-0.23254777538206262,0.9559554593187838,0.1931782916665684,0.22428859601156842,-0.6391676634881066
pooled,M4_activation_distributed_state,15,210,0.9000499932762014,0.289963300152966,0.18606271468701815,1.0439150122775365,0.18972924884544431,0.20739227688656817,-0.6582745198480854
pooled,M4_activation_distributed_state,16,205,0.92916899953332,0.2517607019330237,-0.031278123527049874,1.0019842566800925,0.20136431303225122,0.20356877364725756,-0.6278351277755084
pooled,M4_activation_distributed_state,17,186,0.9079304979487781,0.2834783509843889,0.17784890767727374,1.0290019760157663,0.1957858325863856,0.20139146640684039,-0.6425351013839001
pooled,M4_activation_distributed_state,18,182,0.9128761567656165,0.27550993151833986,0.10627339635225945,1.018377123819511,0.18885857714011817,0.21287732180424282,-0.6737701171350081
pooled,M4_activation_distributed_state,19,191,0.920826124302985,0.26876264261962335,0.20681304941808698,1.0360701980495448,0.210964955540856,0.18975735633438656,-0.6363232984973872
