setting,proxy,split,n_test,r2,rmse,calib_intercept,calib_slope,alpha_C,alpha_M,alpha_eta
gpt,M4_activation_distributed_state,3,176,0.9333490345338893,0.2658657968559529,-0.08311907753183297,0.9726412829045444,0.21656750873440522,0.20539163164086086,-0.8010620688978941
gpt,M4_activation_distributed_state,4,168,0.9329407488320909,0.25408577533903226,-0.13084250958432642,0.9766375574092538,0.22909707737931864,0.19115595533615232,-0.7661594896000388
gpt,M4_activation_distributed_state,5,177,0.9109532604538887,0.2850462031287316,-0.02869179910029841,1.0094259504540757,0.21007268572380558,0.19857108933137346,-0.773807273557176
gpt,M4_activation_distributed_state,6,172,0.9149527196607117,0.27076605290368616,-0.09784587146034422,0.9925510121580549,0.24197226585473672,0.16787472600122302,-0.7744575215634177
gpt,M4_activation_distributed_state,7,166,0.922736231040302,0.25039163870786674,0.03554113947434638,1.0048597781779542,0.20882883538907182,0.20144874508603483,-0.7858390178121293
gpt,M4_activation_distributed_state,8,170,0.9150164141891297,0.26990038581700015,0.11321692668891607,1.0285989224973124,0.21416980750385883,0.18827307169824334,-0.7929288114083034
gpt,M4_activation_distributed_state,9,172,0.9168664406367449,0.26261811066305957,0.12344039220300727,1.0232202194718172,0.20606181152129124,0.2020854307696516,-0.8032361391511634
gpt,M4_activation_distributed_state,10,167,0.9218575668044279,0.26755788825568666,0.13006014168832483,1.015137620646093,0.2053191732365846,0.20397736701496783,-0.7847271647903145
gpt,M4_activation_distributed_state,11,164,0.915341809522424,0.2781184094826891,0.3258268511070481,1.060809706651764,0.2139886008210679,0.18827332409868594,-0.7995663971220995
gpt,M4_activation_distributed_state,12,163,0.8705443649491316,0.321588160028378,-0.5055125419794257,0.8867299410078313,0.21364209725606603,0.21866845154635706,-0.8324316976211046
gpt,M4_activation_distributed_state,13,172,0.9122794817602382,0.2766785515161688,-0.26352375174538084,0.9481316139463957,0.2157932433660702,0.208792302461213,-0.7990996259452852
gpt,M4_activation_distributed_state,14,177,0.9227536647370641,0.27043943480615446,-0.27552194307271966,0.9420759803403896,0.24538356495397365,0.17632567666814794,-0.7920466855129029
gpt,M4_activation_distributed_state,15,171,0.9053553802564306,0.28301094869871096,-0.3245703901612577,0.926883332826522,0.21238301232179368,0.21462627118617295,-0.8246859098492382
gpt,M4_activation_distributed_state,16,181,0.9282214425633444,0.260158565095127,0.0016851218997050354,1.005838436810557,0.221506928343006,0.18333173558495075,-0.8127640138791787
gpt,M4_activation_distributed_state,17,169,0.9060709335893449,0.2868268770104588,-0.266507937427732,0.9362271568099374,0.22052008421176345,0.20823620652321181,-0.8018565598322273
gpt,M4_activation_distributed_state,18,175,0.939478525728509,0.24416283248674278,0.0619190405447977,1.0132907601558987,0.21786696714075238,0.1912339859189935,-0.7742824482971006
gpt,M4_activation_distributed_state,19,174,0.9415248253249587,0.2342437371368559,-0.027252726137627414,0.9988189215517357,0.2462855459106253,0.16444974819293046,-0.7664317916137535
